bbg_name,isin,ric_attempt,resolution_method
NDA FH,FI4000297767,NDAFI.HE@RIC,rule
OR FP,FR0000120321,OREP.PA,rule
PRX NA,NL0013654783,PRX.AS@RIC,rule
RACE IM,NL0011585146,RACE.MI@RIC,rule
RI FP,FR0000120693,PERP.PA,rule
SAF FP,FR0000073272,SAF.PA@RIC,rule
SAN FP,FR0000120578,SASY.PA,rule
SAN SM,ES0113900J37,SAN.MC@RIC,rule
SAP GR,DE0007164600,SAPG.DE@RIC,rule
SIE GR,DE0007236101,SIEGn.DE@RIC,rule
STLAM IM,NL00150001Q9,STLAM.MI@RIC,rule
SU FP,FR0000121972,SCHN.PA,rule
TTE FP,FR0000120271,TTEF.PA@RIC,rule
UCG IM,IT0005239360,CRDI.MI,rule
VOW3 GR,DE0007664039,VOWG_p.DE@RIC,rule
AAL LN,GB00B1XZS820,AAL.L@RIC,rule
AZN LN,GB0009895292,AZN.L@RIC,rule
BA LN,GB0002634946,BAES.L,rule
BARC LN,GB0031348658,BARC.L@RIC,rule
BATS LN,GB0002875804,BATS.L@RIC,rule
BHP LN,GB00BMXES671,BHPB.L,rule
BP LN,GB0007980591,BP.L@RIC,rule
DGE LN,GB0002374006,DGE.L@RIC,rule
EXPN LN,GB00B19NLV48,EXPN.L@RIC,rule
GLEN LN,JE00B4T3BW64,GLEN.L@RIC,rule
GSK LN,GB00BN7SWP63,GSK.L@RIC,rule
HSBA LN,GB0005405286,HSBA.L@RIC,rule
IAG LN,ES0177542018,ICAG.L,rule
IMB LN,GB0004544929,IMB.L@RIC,rule
LGEN LN,GB0005603997,LGEN.L@RIC,rule
LLOY LN,GB0008706128,LLOY.L@RIC,rule
LSEG LN,GB00B0SWJX34,LSEG.L@RIC,rule
NG LN,GB00BDR05C01,NG.L@RIC,rule
NWG LN,GB00BM8PJY71,NWG.L@RIC,rule
PRU LN,GB0007099541,PRU.L@RIC,rule
RIO LN,GB0007188757,RIO.L@RIC,rule
RKT LN,GB00B24CGK77,RKT.L@RIC,rule
RR LN,GB00B63H8491,RR.L,rule
SHEL LN,GB00BP6MXD84,SHEL.L,rule
SSE LN,GB0007908733,SSE.L@RIC,rule
STAN LN,GB0004082847,STAN.L@RIC,rule
TSCO LN,GB0008847096,TSCO.L@RIC,rule
ULVR LN,GB00B10RZP78,ULVR.L@RIC,rule
VOD LN,GB00BH4HKS39,VOD.L@RIC,rule
7203 JP,JP3633400001,7203.T@RIC,rule
6758 JP,JP3435000009,6758.T@RIC,rule
9984 JP,JP3436100006,9984.T@RIC,rule
8306 JP,JP3902900004,8306.T@RIC,rule
6861 JP,JP3236200006,6861.T@RIC,rule
7974 JP,JP3756600007,7974.T@RIC,rule
4063 JP,JP3371200001,4063.T@RIC,rule
6098 JP,JP3970300004,6098.T@RIC,rule
8035 JP,JP3571400005,8035.T@RIC,rule
8316 JP,JP3890350006,8316.T@RIC,rule
4502 JP,JP3463000004,4502.T@RIC,rule
7267 JP,JP3854600008,7267.T@RIC,rule
8411 JP,JP3885780001,8411.T@RIC,rule
6594 JP,JP3734800000,6594.T@RIC,rule
6981 JP,JP3914400001,6981.T@RIC,rule
9432 JP,JP3735400008,9432.T@RIC,rule
9433 JP,JP3496400007,9433.T@RIC,rule
9434 JP,JP3436100006,9434.T@RIC,rule
8001 JP,JP3143600009,8001.T@RIC,rule
8058 JP,JP3898400001,8058.T@RIC,rule
8002 JP,JP3877600001,8002.T@RIC,rule
8031 JP,JP3893600001,8031.T@RIC,rule
8053 JP,JP3404600003,8053.T@RIC,rule
0700 HK,KYG875721634,0700.HK@RIC,rule
0939 HK,CNE1000002H1,0939.HK@RIC,rule
9988 HK,KYG017191142,9988.HK@RIC,rule
1398 HK,CNE1000003G1,1398.HK@RIC,rule
0941 HK,HK0941009539,0941.HK@RIC,rule
3690 HK,KYG596691041,3690.HK@RIC,rule
2318 HK,CNE1000003X6,2318.HK@RIC,rule
0388 HK,HK0388045442,0388.HK@RIC,rule
0005 HK,GB0005405286,0005.HK@RIC,rule
1810 HK,KYG9830T1067,1810.HK@RIC,rule
9618 HK,KYG8208B1014,9618.HK@RIC,rule
2628 HK,CNE1000002L3,2628.HK@RIC,rule
0883 HK,HK0883013259,0883.HK@RIC,rule
0857 HK,CNE1000003W8,0857.HK@RIC,rule
0386 HK,CNE1000002Q2,0386.HK@RIC,rule
0011 HK,HK0011000095,0011.HK^A26,rule
0001 HK,KYG217651051,0001.HK@RIC,rule
1299 HK,HK0000069689,1299.HK@RIC,rule
0002 HK,HK0002007356,0002.HK@RIC,rule
1113 HK,KYG2177B1014,1113.HK@RIC,rule
0016 HK,HK0016000132,0016.HK@RIC,rule
0027 HK,HK0027032686,0027.HK@RIC,rule
0066 HK,HK0066009694,0066.HK@RIC,rule
0688 HK,HK0688002218,0688.HK@RIC,rule
CBA AU,AU000000CBA7,CBA.AX@RIC,rule
CSL AU,AU000000CSL8,CSL.AX@RIC,rule
WES AU,AU000000WES1,WES.AX@RIC,rule
NAB AU,AU000000NAB4,NAB.AX@RIC,rule
ANZ AU,AU0000242039,ANZ.AX@RIC,rule
WBC AU,AU000000WBC1,WBC.AX@RIC,rule
MQG AU,AU000000MQG1,MQG.AX@RIC,rule
WOW AU,AU000000WOW2,WOW.AX@RIC,rule
TLS AU,AU0000030678,TLS.AX@RIC,rule
TCL AU,AU000000TCL6,TCL.AX@RIC,rule
GMG AU,AU000000GMG2,GMG.AX@RIC,rule
WDS AU,AU0000224040,WDS.AX,rule
STO AU,AU000000STO6,STO.AX@RIC,rule
FMG AU,AU000000FMG4,FMG.AX@RIC,rule
SUN AU,AU000000SUN6,SUN.AX@RIC,rule
QBE AU,AU000000QBE9,QBE.AX@RIC,rule
RMD AU,US7611521078,RMD.AX,rule
JHX AU,IE00BD1NQM38,JHX.AX@RIC,rule
AMC AU,JE00BJ1F3079,AMC.AX@RIC,rule
COL AU,AU0000030678,COL.AX,rule
IAG AU,AU000000IAG3,IAG.AX@RIC,rule
SHL AU,AU000000SHL7,SHL.AX@RIC,rule
CPU AU,AU000000CPU5,CPU.AX@RIC,rule
