date,from_maturity,to_maturity,fwdCofDiv100pct,fwdCofDivMarket
2025-04-16,6M,3M,0.003986086956521742,0.003674347826086956
2025-04-16,1Y,3M,0.007581094890510949,0.004992846715328468
2025-04-16,1Y,6M,0.009398351648351648,0.005659340659340661
2025-04-16,2Y,3M,0.007831799687010955,0.004305774647887324
2025-04-16,2Y,6M,0.008478610603290675,0.004411974405850091
2025-04-16,2Y,1Y,0.00802,0.00379
2025-04-23,6M,3M,0.0043327173913043455,0.0036356521739130433
2025-04-23,1Y,3M,0.007652445255474452,0.0047266058394160575
2025-04-23,1Y,6M,0.009330549450549452,0.0052780769230769235
2025-04-23,2Y,3M,0.008039467918622848,0.004482926447574334
2025-04-23,2Y,6M,0.00866290676416819,0.004625429616087751
2025-04-23,2Y,1Y,0.008329999999999999,0.0043
2025-04-30,6M,3M,0.00456467391304348,0.003952173913043478
2025-04-30,1Y,3M,0.007251678832116787,0.004140182481751824
2025-04-30,1Y,6M,0.008609945054945053,0.0042352197802197795
2025-04-30,2Y,3M,0.0077819405320813766,0.004254319248826291
2025-04-30,2Y,6M,0.00832305301645338,0.004305137111517367
2025-04-30,2Y,1Y,0.00818,0.00434
2025-05-07,6M,3M,0.00513,0.00342
2025-05-07,1Y,3M,0.007421501831501832,0.003880842490842491
2025-05-07,1Y,6M,0.008586243093922653,0.004115082872928178
2025-05-07,2Y,3M,0.007643761755485894,0.0040920376175548594
2025-05-07,2Y,6M,0.008067326007326008,0.004205274725274726
2025-05-07,2Y,1Y,0.00781,0.00425
2025-05-14,6M,3M,0.005730000000000001,0.00417
2025-05-14,1Y,3M,0.00787868131868132,0.004264322344322345
2025-05-14,1Y,6M,0.008970828729281769,0.004312265193370165
2025-05-14,2Y,3M,0.007822225705329155,0.004376269592476488
2025-05-14,2Y,6M,0.008174761904761905,0.004411025641025641
2025-05-14,2Y,1Y,0.00778,0.0044599999999999996
2025-05-21,6M,3M,0.00558,0.00405
2025-05-21,1Y,3M,0.008017289377289379,0.004160256410256411
2025-05-21,1Y,6M,0.009256132596685084,0.0042162983425414365
2025-05-21,2Y,3M,0.007995956112852665,0.004543416927899686
2025-05-21,2Y,6M,0.008403040293040294,0.004626556776556776
2025-05-21,2Y,1Y,0.007980000000000001,0.004829999999999999
2025-05-28,6M,3M,0.005960000000000002,0.00424
2025-05-28,1Y,3M,0.008245128205128205,0.004050146520146521
2025-05-28,1Y,6M,0.009406629834254143,0.003953646408839778
2025-05-28,2Y,3M,0.008104890282131662,0.004587836990595611
2025-05-28,2Y,6M,0.008466300366300366,0.004646446886446887
2025-05-28,2Y,1Y,0.008,0.0049900000000000005
2025-06-04,6M,3M,0.0055557142857142845,0.003601978021978022
2025-06-04,1Y,3M,0.008293699633699634,0.0038015384615384617
2025-06-04,1Y,6M,0.00966269230769231,0.0039013186813186816
2025-06-04,2Y,3M,0.00802269592476489,0.004441410658307211
2025-06-04,2Y,6M,0.00843310786106033,0.004581060329067643
2025-06-04,2Y,1Y,0.00782,0.004920000000000001
2025-06-11,6M,3M,0.005971538461538462,0.0035336263736263735
2025-06-11,1Y,3M,0.009167875457875459,0.0036721978021978024
2025-06-11,1Y,6M,0.010766043956043957,0.0037414835164835164
2025-06-11,2Y,3M,0.009294952978056426,0.004380344827586207
2025-06-11,2Y,6M,0.009847842778793418,0.004521206581352834
2025-06-11,2Y,1Y,0.009389999999999999,0.00491
2025-06-18,6M,3M,0.005591538461538461,0.003103516483516483
2025-06-18,1Y,3M,0.00898842490842491,0.0033691575091575094
2025-06-18,1Y,6M,0.010686868131868131,0.0035019780219780225
2025-06-18,2Y,3M,0.008926394984326019,0.003913134796238244
2025-06-18,2Y,6M,0.009481188299817186,0.00404782449725777
2025-06-18,2Y,1Y,0.008880000000000002,0.004319999999999999
2025-06-25,6M,3M,0.005685274725274725,0.0032763736263736265
2025-06-25,1Y,3M,0.008585604395604397,0.0030592673992673996
2025-06-25,1Y,6M,0.010035769230769232,0.0029507142857142857
2025-06-25,2Y,3M,0.008954263322884012,0.004020815047021943
2025-06-25,2Y,6M,0.009498098720292504,0.004144661791590494
2025-06-25,2Y,1Y,0.009229999999999999,0.004739999999999999
2025-07-02,6M,3M,0.005679999999999998,0.0037800000000000004
2025-07-02,1Y,3M,0.009007875457875458,0.0037040659340659347
2025-07-02,1Y,6M,0.010699392265193371,0.0036654696132596685
2025-07-02,2Y,3M,0.009112068965517242,0.004291003134796238
2025-07-02,2Y,6M,0.009690366300366302,0.004377106227106227
2025-07-02,2Y,1Y,0.00919,0.00473
2025-07-09,6M,3M,0.00548,0.0036499999999999996
2025-07-09,1Y,3M,0.008940256410256411,0.0037338461538461544
2025-07-09,1Y,6M,0.010699060773480663,0.0037764640883977906
2025-07-09,2Y,3M,0.00892294670846395,0.004217931034482759
2025-07-09,2Y,6M,0.009503076923076925,0.004313626373626374
2025-07-09,2Y,1Y,0.008910000000000001,0.00458
2025-07-16,6M,3M,0.005549999999999999,0.0037499999999999994
2025-07-16,1Y,3M,0.009404945054945057,0.004068534798534799
2025-07-16,1Y,6M,0.01136436464088398,0.004230441988950276
2025-07-16,2Y,3M,0.009178996865203761,0.00434398119122257
2025-07-16,2Y,6M,0.009790476190476191,0.0044440659340659345
2025-07-16,2Y,1Y,0.009009999999999999,0.00455
2025-07-23,6M,3M,0.00638,0.004379999999999999
2025-07-23,1Y,3M,0.009441794871794872,0.004010915750915751
2025-07-23,1Y,6M,0.010998066298342542,0.003823314917127072
2025-07-23,2Y,3M,0.009274858934169279,0.004393699059561129
2025-07-23,2Y,6M,0.009762637362637364,0.0043960073260073266
2025-07-23,2Y,1Y,0.00915,0.00468
2025-07-30,6M,3M,0.006960000000000001,0.00535
2025-07-30,1Y,3M,0.009654065934065934,0.0043609157509157505
2025-07-30,1Y,6M,0.01102342541436464,0.0038581767955801097
2025-07-30,2Y,3M,0.009989278996865202,0.005109843260188087
2025-07-30,2Y,6M,0.010499706959706959,0.005069377289377289
2025-07-30,2Y,1Y,0.010239999999999999,0.00567
2025-08-06,6M,3M,0.006619999999999998,0.0049499999999999995
2025-08-06,1Y,3M,0.009874945054945057,0.004367545787545788
2025-08-06,1Y,6M,0.011529392265193372,0.004071491712707182
2025-08-06,2Y,3M,0.009717648902821317,0.004672163009404389
2025-08-06,2Y,6M,0.01023959706959707,0.0046253479853479865
2025-08-06,2Y,1Y,0.009600000000000001,0.004900000000000001
